# Bluestone Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/stone/sedimentary/bluestone-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Bluestone Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/stone/sedimentary/bluestone-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Bluestone,,,,,Material name
Basic,Info,Category,stone,,,,,Material category
Basic,Info,Subcategory,sedimentary,,,,,Material subcategory
Basic,Info,Slug,bluestone-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Bluestone cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength optimized for Bluestone mineral absorption
Machine,Settings,spotSize,100,μm,0.1,500,,Beam spot diameter for precise cleaning control
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning coverage
Machine,Settings,energyDensity,5,J/cm²,0.1,20,,Fluence threshold for effective contaminant removal
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse width for controlled ablation of contaminants
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning
Machine,Settings,passCount,3,passes,1,10,,Recommended number of passes for complete cleaning
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform coverage
Machine,Settings,power,100,W,50,300,,"Typical range for industrial cleaning of natural stones like Bluestone using 1064 nm fiber lasers; starting at 100W balances efficiency and safety to avoid thermal damage to porous substrate. Max limited by Bluestone's low thermal conductivity (~1-2 W/m·K) to prevent cracking. Source: Manufacturer specs from IPG Photonics YLR series and academic review in 'Laser Cleaning of Stone Surfaces' (J. Cult. Herit., 2018)."
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Effective speeds for contamination removal on stone; slower (500-1000 mm/s) for heavy rust/graffiti, faster (2000-3000 mm/s) for light dust. Recommended 1500 mm/s for optimal balance on Bluestone to ensure uniform cleaning without overheating. Source: Industry standards from Adapt Laser Systems manuals and case studies in Opt. Lasers Eng. (2020)."
Machine,Settings,pulse_width,50,ns,0.1,1000,,Nanosecond regime (10-200 ns) preferred for cost-effective cleaning of stones; picosecond (ps) or femtosecond reduces heat-affected zone (HAZ) but increases cost. 50 ns recommended for Bluestone to minimize thermal diffusion given its melting point ~1200-1400°C. Source: Laser physics research in Appl. Phys. A (2019) on stone ablation thresholds.
Machine,Settings,repetition_rate,50,kHz,1,200,,Typical for pulsed cleaning to control energy delivery; higher rates (>50 kHz) speed up process but risk heat accumulation on low-conductivity Bluestone. 50 kHz balances speed and safety. Trade-off: high freq increases throughput but requires monitoring for substrate heating. Source: Academic literature in J. Appl. Phys. (2021) on pulse repetition in heritage cleaning.
