Parameter,Value,Unit,Min,Max,Description
"powerRange","50","W","1","120","Low power for organic material preservation"
"wavelength","1064","nm","355","10640","Near-IR for controlled wood cleaning"
"spotSize","100","μm","0.1","500","Larger spot for gentle treatment"
"repetitionRate","20","kHz","1","200","Lower frequency to prevent burning"
"energyDensity","1","J/cm²","0.1","20","Low energy to preserve wood fibers"
"pulseWidth","10","ns","0.1","1000","Short pulses for minimal charring"
"scanSpeed","700","mm/s","10","5000","Fast scanning to prevent heat damage"
"passCount","1","passes","1","10","Single gentle pass for delicate surfaces"
"overlapRatio","30","%","10","90","Lower overlap for organic materials"
"power","100","W","50","500","Typical range for delicate organic materials like wood to avoid thermal damage; starting at 100W for controlled cleaning of light contaminants on Ebony. Max safe ~500W to prevent charring (based on general Nd:YAG laser cleaning studies for woods, e.g., Journal of Cultural Heritage, 2018)."
"scan_speed","1500","mm/s","10","5000","Effective speeds balance cleaning efficiency and heat input; slower for heavy contamination (500-1000 mm/s), faster for light (2000-3000 mm/s). Recommended 1500 mm/s for uniform Ebony surface prep (industry standards from IPG Photonics manuals and laser cleaning process optimization)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for minimal heat-affected zone on low-conductivity woods like Ebony; picosecond (ps) or femtosecond reduces thermal damage but increases cost. 20 ns typical for 1064 nm cleaning without substrate ablation (laser physics research, e.g., Optics & Lasers in Engineering, 2020)."
"repetition_rate","30","kHz","1","200","20-50 kHz balances speed and heat accumulation for organic materials; higher rates (>50 kHz) risk overheating Ebony due to poor thermal conductivity. Recommended 30 kHz for efficient contaminant removal (academic literature, e.g., Applied Surface Science, 2019)."
"energy_density","1.5","J/cm²","0.1","20","Fluence below Ebony's ablation threshold (~5 J/cm² at 1064 nm for dark woods); 0.5-2 J/cm² for light cleaning, up to 4 for heavy. Recommended 1.5 J/cm² safe for contamination removal without fiber damage (ablation threshold studies, e.g., Journal of Applied Physics, 2017; conservative for Ebony's low reflectivity)."
"spot_size","200","μm","0.1","500","Smaller spots (100-200 μm) for fine detail on Ebony grain, larger (300-500 μm) for broad areas. Recommended 200 μm for precise industrial cleaning (equipment specs from Coherent and Trumpf laser systems)."
"pass_count","2","passes","1","10","Single pass for light contaminants, multi-pass (2-3) for heavy or layered removal on woods. Recommended 2 passes for complete Ebony cleaning without overexposure (industry case studies, e.g., laser restoration of wooden artifacts in Heritage Science, 2021)."
"overlap_ratio","60","%","10","90","50-70% ensures uniform coverage and avoids gaps/striping on irregular surfaces like Ebony; lower for speed, higher for thoroughness. Recommended 60% for optimal process (process optimization studies, e.g., Lasers in Manufacturing and Materials Processing, 2022)."
