Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Travertine surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for Travertine absorption and minimal substrate damage"
"spotSize","100","μm","0.1","500","Beam spot diameter for balanced cleaning efficiency and resolution"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage and process speed"
"energyDensity","1.5","J/cm²","0.1","20","Fluence level sufficient for contaminant removal below Travertine damage threshold"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for effective contaminant removal with controlled thermal penetration"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning without overlapping damage"
"passCount","2","passes","1","10","Number of cleaning passes for complete contaminant removal"
"overlapRatio","30","%","10","90","Optimal beam overlap for complete coverage without excessive energy deposition"
"power","50","W","20","200","Typical range for pulsed Nd:YAG lasers (1064 nm) on porous stones like travertine to remove contaminants without thermal damage; starting at 50 W for light soiling, max 200 W risks microcracking (source: IPG Photonics laser cleaning guidelines and studies on limestone ablation, e.g., J. Cult. Herit. 2018)."
"scan_speed","1000","mm/s","10","5000","Effective speeds balance fluence and coverage; 1000 mm/s optimal for uniform cleaning on travertine, slower (500 mm/s) for heavy contamination, faster (up to 3000 mm/s) for light dust (source: Industry standards from Laser Cleaning Europe and equipment manuals like those from CleanLaser)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for cost-effective cleaning with minimal heat-affected zone on heat-sensitive travertine; 20 ns balances ablation efficiency and reduced thermal diffusion (picosecond/fs for ultra-precision but overkill; source: Laser physics research in Opt. Lasers Eng. 2020 on stone heritage cleaning)."
"repetition_rate","30","kHz","1","200","Typical for industrial cleaning to achieve pulse overlap without excessive heat buildup in low-conductivity travertine; 30 kHz recommended for faster processing vs. heat risks at higher rates (source: Academic literature, e.g., Appl. Surf. Sci. 2019 on pulsed laser parameters for carbonates)."
"energy_density","1","J/cm²","0.1","20","Fluence range for contaminant removal (e.g., soot, oxides) on travertine; damage threshold ~2-3 J/cm² for CaCO3-based stone, so 1.0 J/cm² safe starting point to avoid spalling (source: Ablation threshold studies in J. Appl. Phys. 2017 and heritage conservation papers)."
"spot_size","200","μm","0.1","500","Beam diameter for effective energy distribution; 200 μm recommended for travertine to cover pores without pinpoint damage, smaller for fine details, larger for broad areas (source: Equipment specs from manufacturers like Raycus and Coherent laser systems)."
"pass_count","2","passes","1","10","Multi-pass approach ensures complete removal without exceeding fluence limits on delicate travertine; 2 passes typical for industrial surface prep (single pass for very light contamination; source: Industry case studies in stone restoration, e.g., Restaurators 2021)."
"overlap_ratio","70","%","10","90","Ensures uniform coverage and prevents stripe patterns on uneven travertine surfaces; 70% optimal for balance between efficiency and overlap-induced heating (source: Process optimization in laser scanning studies, e.g., Opt. Express 2016)."
