Parameter,Value,Unit,Min,Max,Description
"powerRange","30","W","1","120","Low power for thermal-sensitive polymer cleaning"
"wavelength","1064","nm","355","10640","Near-IR wavelength for controlled absorption"
"spotSize","100","μm","0.1","500","Larger spot for gentle surface treatment"
"repetitionRate","20","kHz","1","200","Lower frequency to prevent thermal damage"
"energyDensity","0.5","J/cm²","0.1","20","Low energy density to avoid melting"
"pulseWidth","10","ns","0.1","1000","Short pulses for minimal thermal impact"
"scanSpeed","800","mm/s","10","5000","Fast scanning to reduce heat accumulation"
"passCount","2","passes","1","10","Multiple gentle passes for gradual cleaning"
"overlapRatio","30","%","10","90","Lower overlap to prevent overheating"
"power","30","W","10","100","Typical range for pulsed Nd:YAG lasers in polymer cleaning to avoid thermal damage; starting at 30W for PMMA surface preparation. Max safe ~100W before melting (PMMA melting point ~160°C). Source: Manufacturer specs from IPG Photonics and Adapt Laser Systems for delicate substrates."
"scan_speed","2000","mm/s","10","5000","Effective range for contaminant removal; slower (500-1500 mm/s) for heavy contamination, faster (2000-5000 mm/s) for light. Recommended 2000 mm/s balances speed and control for PMMA's low thermal conductivity. Source: Industry standards from Laserax equipment manuals."
"pulse_width","20","ns","0.1","1000","Nanosecond regime typical for industrial 1064 nm cleaning; picosecond (ps) or femtosecond preferred for minimal HAZ but less common. 20 ns recommended to reduce heat accumulation in PMMA. Source: Laser physics research in Optics & Laser Technology (e.g., studies on polymer ablation thresholds)."
"repetition_rate","20","kHz","1","200","Standard for cleaning applications; 20 kHz recommended for PMMA to enable fast processing while minimizing heat buildup (higher rates increase accumulation risk). Trade-off: higher freq speeds cleaning but risks substrate damage. Source: Academic literature from Journal of Applied Physics on pulsed laser interactions with polymers."
"energy_density","0.5","J/cm²","0.1","20","Fluence below PMMA damage threshold (~1.5-2 J/cm² at 1064 nm for ns pulses) for safe contaminant removal; 0.5 J/cm² optimal to ablate surface layers without substrate melting. Source: Ablation threshold studies in Applied Surface Science (e.g., PMMA IR laser interactions)."
"spot_size","200","μm","0.1","500","Smaller spots (50-200 μm) for fine detail cleaning, larger (200-500 μm) for broad areas; 200 μm recommended for uniform PMMA surface prep considering beam reflectivity. Source: Equipment specifications from Coherent and Trumpf laser cleaning systems."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy; 2 passes recommended for complete PMMA cleaning without excessive exposure. Source: Industry case studies from laser cleaning applications in plastics processing (e.g., SPIE proceedings)."
"overlap_ratio","70","%","10","90","Ensures uniform coverage; 70% recommended for even energy distribution on PMMA to prevent uneven heating or missed spots. Source: Process optimization studies in Laser Cleaning Handbook and academic papers on scan strategies."
