Parameter,Value,Unit,Min,Max,Description
"powerRange","15","W","1","120","Optimal average power for Polycarbonate surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength providing good absorption in contaminants while minimizing Polycarbonate substrate damage"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise cleaning with sufficient energy density"
"repetitionRate","20","kHz","1","200","Optimal repetition rate for efficient cleaning with adequate cooling between pulses"
"fluenceThreshold","0.8","J/cm²","0.3","4.5","Fluence threshold for contaminant removal while preserving Polycarbonate substrate"
"pulseWidth","100","ns","0.1","1000","Nanosecond pulse duration for effective contaminant removal with controlled thermal penetration"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","2","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive thermal buildup"
"power","50","W","20","200","Typical range for pulsed fiber lasers in polymer cleaning to avoid thermal damage; starting at 50W for light contamination on PC, max limited by melting point (~147°C) and low thermal conductivity. Source: IPG Photonics YLR series specs for cleaning applications; conservative for polymers per studies in Optics and Lasers in Engineering (2018)."
"scan_speed","500","mm/s","10","5000","Slower speeds for polymers to control heat buildup; 500 mm/s optimal for uniform contaminant removal without substrate ablation. Range adjusts for light (faster) vs heavy contamination. Source: Industry standards from Laserax equipment manuals; case studies in Journal of Cleaner Production (2020)."
"pulse_width","10","ns","0.1","1000","Nanosecond regime preferred for PC to balance ablation efficiency and minimal heat-affected zone (HAZ <10μm); picosecond (ps) reduces HAZ further but increases cost. Femtosecond risks over-ablation. Source: Laser physics research in Applied Surface Science (2019) on polymer ablation thresholds."
"repetition_rate","30","kHz","1","200","30 kHz balances cleaning speed and heat accumulation for PC's low thermal conductivity; higher rates (>50 kHz) accelerate process but risk melting. Source: Academic literature in Optics Express (2021) on pulsed laser cleaning of thermoplastics."
"energy_density","0.5","J/cm²","0.1","20","Fluence below PC damage threshold (~1-2 J/cm² at 1064 nm due to moderate absorption); 0.5 J/cm² for safe contaminant removal. Conservative to prevent charring. Source: Ablation threshold studies in Journal of Applied Physics (2017) for polycarbonate at near-IR wavelengths."
"spot_size","100","μm","0.1","500","100 μm diameter for precise surface preparation on PC; smaller for fine details, larger for broad areas. Matches typical Gaussian beam profiles. Source: Equipment specifications from Coherent and Trumpf laser cleaning systems."
"pass_count","2","passes","1","10","Multi-pass (2 recommended) for complete removal of contaminants without single-pass overheating; single pass for very light soiling. Source: Industry practice in case studies from Surface & Coatings Technology (2022) on polymer cleaning."
"overlap_ratio","60","%","10","90","60% overlap ensures uniform coverage and avoids gaps in cleaning; higher for heavy contamination to build fluence gradually. Source: Process optimization studies in Lasers in Manufacturing and Materials Processing (2020)."
