Parameter,Value,Unit,Min,Max,Description
"powerRange","80","W","1","120","Optimal average power for ceramic cleaning"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal absorption"
"spotSize","50","μm","0.1","500","Beam spot diameter for effective cleaning resolution"
"repetitionRate","50","kHz","1","200","Pulse frequency for controlled material removal"
"energyDensity","2","J/cm²","0.1","20","Energy per unit area for surface cleaning"
"pulseWidth","10","ns","0.1","1000","Pulse duration for minimal thermal penetration"
"scanSpeed","500","mm/s","10","5000","Beam travel speed for uniform coverage"
"passCount","3","passes","1","10","Number of cleaning cycles for complete removal"
"overlapRatio","50","%","10","90","Beam overlap for consistent surface treatment"
"power","200","W","50","500","Typical range for industrial Nd:YAG laser cleaning of ceramics like YSZ to ablate contaminants without thermal damage; starting at 200W for balanced efficiency. YSZ's low thermal conductivity (2 W/mK) requires conservative powers to avoid cracking. Source: Manufacturer specs from IPG Photonics and Coherent for ceramic applications; academic review in Journal of Laser Applications (2020)."
"scan_speed","500","mm/s","10","5000","Effective range for 1064 nm cleaning, slower for heavy contamination (e.g., oxides) and faster for light; 500 mm/s recommended for optimal fluence delivery on YSZ without overheating. Source: Industry standards from Laser Cleaning Association guidelines and equipment manuals (e.g., Adapt Laser Systems)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for industrial YSZ cleaning to minimize heat-affected zone (HAZ) due to YSZ's high melting point (~2700°C) and moderate reflectivity at 1064 nm; picosecond (ps) or femtosecond (fs) for ultra-precise but costlier. Source: Laser physics research in Optics Express (e.g., study on ceramic ablation thresholds, 2018)."
"repetition_rate","50","kHz","1","200","Standard for pulsed cleaning to ensure pulse overlap without excessive heat accumulation on low-conductivity YSZ; higher rates speed up process but risk thermal buildup. Source: Academic literature in Applied Surface Science (review on pulse repetition effects, 2019)."
"energy_density","2","J/cm²","0.1","20","Fluence range for contaminant removal (e.g., oils, rust) below YSZ damage threshold (~6-10 J/cm² at 1064 nm ns pulses); 2 J/cm² recommended for safe surface preparation. Source: Ablation threshold studies in Journal of Applied Physics (zirconia laser interaction, 2017) and SPIE proceedings."
"spot_size","200","μm","0.1","500","Beam diameter range for precise vs. broad cleaning; 200 μm ideal for YSZ industrial applications like coating prep to focus energy without substrate etching. Source: Equipment specifications from Trumpf and CleanLaser systems for ceramic processing."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy; 2 passes recommended for complete YSZ cleaning while monitoring for microcracks. Source: Industry case studies in Surface and Coatings Technology (YSZ thermal barrier cleaning, 2021)."
"overlap_ratio","50","%","10","90","Ensures uniform coverage without gaps or over-ablation on brittle YSZ; 50% balances efficiency and even energy distribution. Source: Process optimization studies in Lasers in Manufacturing and Materials Processing (scan strategy for ceramics, 2022)."
