# Gold Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/metal/non-ferrous/gold-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Gold Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/metal/non-ferrous/gold-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Gold,,,,,Material name
Basic,Info,Category,metal,,,,,Material category
Basic,Info,Subcategory,non-ferrous,,,,,Material subcategory
Basic,Info,Slug,gold-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,15,W,1,120,,Optimal average power for Gold surface cleaning without damage
Machine,Settings,wavelength,532,nm,355,10640,,Green wavelength optimized for Gold absorption characteristics
Machine,Settings,spotSize,50,μm,0.1,500,,Beam spot diameter for precise Gold surface treatment
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient Gold cleaning
Machine,Settings,fluenceThreshold,0.8,J/cm²,0.3,4.5,,Fluence threshold for Gold ablation without substrate damage
Machine,Settings,pulseWidth,8,ns,0.1,1000,,Nanosecond pulse width for controlled Gold ablation
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform Gold cleaning
Machine,Settings,passCount,3,passes,1,10,,Recommended number of passes for complete Gold surface cleaning
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform Gold surface cleaning
Machine,Settings,power,20,W,10,100,,"Typical range for pulsed laser cleaning of delicate metals like gold to avoid melting (mp 1064°C); start low due to high reflectivity at 532 nm. Recommended starting at 20 W for contamination removal. Max safe ~100 W with fast scanning to prevent substrate damage. Source: Studies on laser cleaning of gold artifacts (e.g., J. Cult. Herit. 2018, DOI:10.1016/j.culher.2018.03.005); manufacturer specs from IPG Photonics for 532 nm systems."
