# Fused Silica Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/glass/soda-lime/fused-silica-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Fused Silica Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/glass/soda-lime/fused-silica-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Fused Silica,,,,,Material name
Basic,Info,Category,glass,,,,,Material category
Basic,Info,Subcategory,soda-lime,,,,,Material subcategory
Basic,Info,Slug,fused-silica-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power range for Fused Silica surface cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength providing optimal absorption balance for Fused Silica contamination removal
Machine,Settings,spotSize,50,μm,0.1,500,,Optimal beam spot diameter for precision cleaning with sufficient energy density
Machine,Settings,repetitionRate,100,kHz,1,200,,High repetition rate for efficient cleaning coverage while maintaining thermal management
Machine,Settings,fluenceThreshold,2.5,J/cm²,0.3,4.5,,Critical fluence threshold for effective contaminant removal without Fused Silica damage
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for efficient contaminant ablation with minimal substrate heating
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning coverage and process efficiency
Machine,Settings,passCount,3,passes,1,10,,Recommended number of cleaning passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap percentage for uniform cleaning without excessive energy deposition
Machine,Settings,power,100,W,20,500,,Typical range for industrial Nd:YAG lasers cleaning delicate optics like fused silica to avoid thermal damage; starting at 100 W for light contamination removal. Max safe below substrate ablation threshold (~10 J/cm² fluence limit). Source: Manufacturer specs from IPG Photonics YLR series and academic review in Optics Express (2018) on laser cleaning of silica optics.
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Effective speeds balance cleaning efficiency and heat input; slower for heavy contamination (500-1000 mm/s), faster for light (2000-3000 mm/s). Recommended 1500 mm/s for uniform removal on fused silica. Source: Industry standards from Laser Cleaning Association guidelines and case studies in Journal of Applied Physics (2020)."
Machine,Settings,pulse_width,500,ns,0.1,1000,,Nanosecond regime preferred for cost-effective cleaning; picosecond (ps) or femtosecond (fs) for ultra-minimal HAZ but higher cost. Typical 10-30 ns for fused silica to limit thermal diffusion given low thermal conductivity (~1.4 W/m·K). Recommended 20 ns. Source: Laser physics research in Applied Surface Science (2019) on pulse duration effects for dielectric materials.
Machine,Settings,repetition_rate,50,kHz,1,200,,Typical 20-80 kHz for cleaning; higher rates speed up process but risk heat accumulation on low-conductivity fused silica (melting point ~1700°C). Recommended 50 kHz balances speed and safety. Source: Academic literature in Optics and Lasers in Engineering (2021) discussing trade-offs in pulsed laser cleaning.
