Parameter,Value,Unit,Min,Max,Description
"powerRange","90","W","1","120","Optimal average power for Schist surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for Schist mineral absorption characteristics"
"spotSize","80","μm","0.1","500","Beam spot diameter for precise cleaning control on Schist mineral layers"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage on Schist surfaces"
"energyDensity","4.5","J/cm²","0.1","20","Fluence threshold for effective contaminant ablation without damaging Schist substrate"
"pulseWidth","12","ns","0.1","1000","Nanosecond pulse duration for effective contaminant removal with minimal substrate damage"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning across Schist surface variations"
"passCount","2","passes","1","10","Recommended number of passes for thorough cleaning of Schist mineral layers"
"overlapRatio","50","%","10","90","Optimal beam overlap percentage for complete coverage on uneven Schist surfaces"
"power","100","W","20","500","Typical range for industrial laser cleaning of stones like schist to remove contaminants without excessive heat buildup; starting at 100W balances efficiency and safety. Max avoids ablation damage based on schist's low thermal conductivity (~1-2 W/m·K). Source: Adapted from IPG Photonics YLR series specs for stone applications and studies in J. Cult. Herit. (2018) on metamorphic rock cleaning."
"scan_speed","500","mm/s","10","5000","Slower speeds (50-200 mm/s) for heavy contamination on schist to ensure thorough removal; faster (up to 2000 mm/s) for light surface prep. Recommended 500 mm/s for optimal contaminant ejection without substrate etching, considering schist's heterogeneous structure. Source: Industry standards from Laserax equipment manuals and Opt. Lasers Eng. (2020) on scan optimization for rocks."
"pulse_width","10","ns","0.1","1000","Nanosecond regime preferred for schist cleaning to minimize heat-affected zone (HAZ <10 μm); picosecond (ps) or femtosecond (fs) for ultra-delicate work but less common industrially due to cost. 10 ns balances ablation of contaminants with schist's variable reflectivity (20-50% at 1064 nm). Source: Laser physics research in Appl. Surf. Sci. (2019) on pulse duration effects for siliceous stones."
"repetition_rate","30","kHz","1","200","Typical 10-50 kHz for efficient cleaning; higher rates (>50 kHz) increase speed but risk heat accumulation in low-conductivity schist, potentially causing micro-cracks. Recommended 30 kHz for steady energy delivery without thermal damage. Source: Academic literature in J. Appl. Phys. (2017) on repetition rate trade-offs for stone ablation thresholds."
"energy_density","1.5","J/cm²","0.1","20","Fluence below schist's damage threshold (~3-4 J/cm² at 1064 nm) for safe contaminant removal; 0.5-1 J/cm² for light dirt, up to 3 J/cm² for heavy oxides. Recommended 1.5 J/cm² avoids melting (schist ~1200-1400°C) while effective. Source: Ablation threshold studies in Surf. Coat. Technol. (2021) for metamorphic rocks and conservative estimates from NIST laser-material interaction data."
"spot_size","300","μm","0.1","500","Smaller spots (100-300 μm) for fine surface prep on schist's foliated texture; larger (up to 1 mm) for broad industrial areas. Recommended 300 μm for uniform coverage without pinpoint damage. Source: Equipment specs from Coherent Armonia series and process studies in Lasers Manuf. Mater. Process. (2019) for stone cleaning applications."
"pass_count","2","passes","1","10","Single pass for light contamination; multi-pass (2-5) for layered buildup on schist to gradually remove without aggressive fluence. Recommended 2 passes ensures complete removal while minimizing risk to underlying minerals. Source: Industry practice from case studies in Restor. Build. Monuments (2022) and general laser cleaning protocols for heterogeneous stones."
"overlap_ratio","60","%","10","90","30-50% for large-area speed; 60-80% for uniform contaminant removal on schist's uneven surface. Recommended 60% prevents gaps and ensures even fluence distribution. Source: Process optimization studies in Opt. Express (2016) on scan line overlap for laser surface treatment of rocks; typical range aligns with manufacturer guidelines."
