Parameter,Value,Unit,Min,Max,Description
"powerRange","45","W","1","120","Optimal average power for Birch surface cleaning without charring"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal Birch wood absorption and minimal subsurface damage"
"spotSize","80","μm","0.1","500","Beam spot diameter for precise cleaning resolution on Birch surface features"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage while maintaining thermal control"
"energyDensity","4.5","J/cm²","0.1","20","Fluence threshold for effective contaminant removal without damaging Birch substrate"
"pulseWidth","12","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of contaminants without excessive heat diffusion"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage without excessive dwell time"
"passCount","2","passes","1","10","Recommended number of cleaning passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap percentage for uniform cleaning coverage"
"power","50","W","20","200","Typical range for wood cleaning at 1064 nm to avoid charring; start at 50 W for light contamination on birch (low thermal conductivity ~0.16 W/mK limits heat dissipation). Max safe below substrate damage threshold. Source: Studies on Nd:YAG laser cleaning of wood (e.g., Journal of Cultural Heritage, 2018)."
"scan_speed","1500","mm/s","10","5000","Effective speeds for contaminant removal without excessive heat buildup; recommended 1500 mm/s for optimal balance on birch. Slower (500-1000 mm/s) for heavy contamination, faster (2000-3000 mm/s) for light. Source: Industry manuals from IPG Photonics and laser cleaning equipment standards."
"pulse_width","20","ns","0.1","1000","Nanosecond regime typical for industrial cleaning of organics like birch contaminants; 20 ns recommended for minimal heat-affected zone (HAZ) due to birch's low melting point (~200-300°C for lignin). Picosecond (ps) or femtosecond better for ultra-precision but less common industrially. Source: Laser physics research in Optics and Lasers in Engineering (2020)."
"repetition_rate","30","kHz","1","200","Standard for pulsed cleaning to balance speed and heat; 30 kHz recommended for birch to prevent accumulation (high freq increases speed but risks thermal damage on low-conductivity wood). Trade-off: >50 kHz faster but monitor for charring. Source: Academic literature on wood surface treatment (Applied Surface Science, 2019)."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe contaminant ablation; birch damage threshold ~2-4 J/cm² at 1064 nm due to moderate reflectivity (~20-30%). Recommended 1.5 J/cm² for cleaning without substrate harm. Source: Ablation threshold studies on hardwoods (Journal of Laser Applications, 2017)."
"spot_size","200","μm","0.1","500","Beam diameter for precise industrial cleaning; 200 μm recommended for birch surface preparation (fine detail for contamination removal). Smaller (100-200 μm) for detailed work, larger (300-500 μm) for broad areas. Source: Equipment specs from Coherent and Trumpf laser systems."
"pass_count","2","passes","1","10","Typically 1-3 passes for light to moderate contamination on birch; multi-pass (2 recommended) ensures complete removal without single-pass overheating. Single pass for very light dirt. Source: Industry case studies on wood restoration (Laser Cleaning Conference proceedings, 2021)."
"overlap_ratio","60","%","10","90","Ensures uniform coverage in scan patterns; 60% recommended for birch to avoid gaps or overexposure (higher overlap for heavy contamination, lower for efficiency). Typical range 30-80% in optimization. Source: Process studies in International Journal of Advanced Manufacturing Technology (2016)."
