Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Fiberglass surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-infrared wavelength for optimal Fiberglass absorption and minimal transmission"
"spotSize","50","μm","0.1","500","Optimal spot diameter for precision cleaning resolution"
"repetitionRate","50","kHz","1","200","High repetition rate for efficient cleaning coverage"
"energyDensity","5","J/cm²","0.1","20","Fluence threshold for effective contaminant removal"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of contaminants"
"scanSpeed","500","mm/s","10","5000","Scanning speed for efficient area coverage without thermal buildup"
"passCount","3","passes","1","10","Number of cleaning passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning coverage"
"dwellTime","100","μs","0.2","200","Effective dwell time per spot for contaminant ablation"
"power","100","W","50","500","Typical range for pulsed Nd:YAG lasers in composite cleaning to avoid thermal damage to polymer matrix; starting at 100W for light contamination (IPG Photonics specs for CL series cleaners; conservative for fiberglass melting point ~200-300°C)."
"scan_speed","1500","mm/s","10","5000","Effective speeds balance removal efficiency and heat input; slower for heavy contamination (e.g., 500-1000 mm/s), faster for light (2000-3000 mm/s); recommended for uniform fiberglass surface prep (industry standards from Laserax and Adapt Laser manuals)."
"pulse_width","30","ns","0.1","1000","Nanosecond regime preferred over ps/fs for cost-effective cleaning of organics on fiberglass; 30 ns minimizes HAZ in low-conductivity composites (laser physics studies in Optics & Lasers in Engineering, 2018, on polymer ablation)."
"repetition_rate","50","kHz","1","200","Moderate rates prevent heat accumulation in thermally sensitive fiberglass; higher rates speed cleaning but risk delamination (trade-off noted in Applied Surface Science, 2020, for composite applications)."
"energy_density","1.5","J/cm²","0.1","20","Fluence below fiberglass damage threshold (~2-4 J/cm² for polymers, higher for glass fibers); safe for contaminant ablation without substrate melting (ablation studies in Journal of Applied Physics, 2019, on epoxy composites)."
"spot_size","300","μm","0.1","500","Smaller spots for precision on fiberglass textures, larger for broad areas; 300 μm balances resolution and efficiency (equipment specs from Coherent and Trumpf laser cleaners for industrial surface prep)."
"pass_count","2","passes","1","10","Multi-pass for layered contamination removal without excessive heat; 1-2 passes typical for light industrial cleaning on fiberglass (case studies in Composites Part B, 2021, on laser surface preparation)."
"overlap_ratio","50","%","10","90","Ensures uniform coverage and avoids gaps/striping on uneven fiberglass surfaces; 50% optimal for energy overlap without redundancy (process optimization in International Journal of Advanced Manufacturing Technology, 2017)."
