Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Zinc oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength with good Zinc absorption and minimal reflectivity"
"spotSize","50","μm","0.1","500","Beam spot diameter for effective Zinc oxide removal"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning with thermal management"
"energyDensity","5.1","J/cm²","0.1","20","Fluence threshold for Zinc oxide ablation without melting substrate"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient Zinc ablation with thermal control"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform Zinc surface cleaning"
"passCount","3","passes","1","10","Number of passes for thorough Zinc oxide removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for complete Zinc surface coverage"
"power","150","W","50","500","Typical range for industrial 1064 nm fiber lasers cleaning reflective metals like zinc to avoid excessive heat buildup; starting at 150 W balances efficiency and safety. Max limited to prevent melting (zinc MP ~419°C). Source: CleanLaser and IPG Photonics equipment specs for metal surface preparation."
"scan_speed","1500","mm/s","10","5000","Range ensures effective contaminant removal without substrate ablation; slower for heavy contamination (e.g., oils), faster for light rust. Recommended 1500 mm/s for optimal zinc cleaning to minimize thermal effects due to high reflectivity. Source: Industry standards from Laserax and academic reviews in J. Laser Appl. (2018)."
"pulse_width","50","ns","0.1","1000","Nanosecond regime preferred for cost-effective industrial cleaning of zinc; shorter pulses (ps/fs) reduce HAZ but are less common at 1064 nm. 50 ns recommended for minimal heat diffusion in zinc's high thermal conductivity (~116 W/mK). Source: Laser physics studies in Opt. Express (2015) on metal ablation thresholds."
"repetition_rate","50","kHz","1","200","Typical for pulsed fiber lasers; higher rates speed up cleaning but increase heat accumulation on reflective zinc, risking damage. 50 kHz balances speed and safety. Source: Academic literature in Appl. Surf. Sci. (2020) on pulse train effects for metal cleaning."
"energy_density","10.05","J/cm²","0.1","20","Fluence range for contaminant ablation without zinc damage; threshold ~2.5 J/cm² due to high reflectivity at 1064 nm. Recommended 1.5 J/cm² for safe removal of oxides/contaminants. Conservative to account for zinc's low melting point. Source: Ablation threshold studies in J. Phys. D: Appl. Phys. (2017)."
"spot_size","200","μm","0.1","500","Smaller spots for precision on zinc details, larger for broad areas; 200 μm recommended for uniform energy distribution and reduced peak fluence on reflective surfaces. Source: Equipment specifications from Coherent and Trumpf laser cleaning systems."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy layers; 2 passes recommended for zinc to ensure complete removal without cumulative heating. Source: Industry case studies in Surf. Coat. Technol. (2019) on multi-pass laser cleaning of metals."
"overlap_ratio","60","%","10","90","Ensures uniform coverage without gaps or overexposure; 60% optimal for zinc to prevent uneven heating on large areas. Source: Process optimization in Laser Technol. J. (2021), typical for industrial scanning parameters."
