# Quartzite Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/stone/sedimentary/quartzite-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Quartzite Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/stone/sedimentary/quartzite-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Quartzite,,,,,Material name
Basic,Info,Category,stone,,,,,Material category
Basic,Info,Subcategory,sedimentary,,,,,Material subcategory
Basic,Info,Slug,quartzite-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Quartzite cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength optimized for Quartzite absorption and minimal scattering
Machine,Settings,spotSize,100,μm,0.1,500,,Beam spot diameter for balanced cleaning efficiency and coverage area
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning coverage and thermal management
Machine,Settings,fluenceThreshold,2.5,J/cm²,0.3,4.5,,Minimum fluence required for effective contaminant removal from Quartzite surface
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for efficient contaminant removal with minimal substrate damage
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning and process efficiency
Machine,Settings,passCount,3,passes,1,10,,Recommended number of passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap percentage for uniform cleaning coverage
Machine,Settings,dwellTime,100,μs,0.2,200,,Optimal dwell time per cleaning spot for effective material removal
Machine,Settings,power,200,W,50,500,,"Typical range for industrial laser cleaning of hard stones like quartzite to remove contaminants without substrate damage; starting at 200W balances efficiency and safety. Max avoids thermal cracking given quartzite's low thermal conductivity (~1-2 W/m·K). Source: IPG Photonics YLR series specs for stone cleaning; academic review in 'Laser Cleaning of Stone Sculptures' (Optics & Lasers in Engineering, 2018)."
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Effective range for 1064 nm cleaning on quartzite; slower for heavy contamination (e.g., rust/oil) to ensure removal, faster for light dust. Recommended 1500 mm/s optimizes throughput while controlling heat input. Source: Industry standards from Laserax equipment manuals; case studies in Journal of Cultural Heritage (2020) on stone surface preparation."
Machine,Settings,pulse_width,30,ns,0.1,1000,,Nanosecond regime preferred for quartzite cleaning to ablate contaminants via photothermal effects while minimizing heat-affected zone (HAZ <10 μm); picosecond (ps) or femtosecond (fs) reduce HAZ further but increase cost. Avoid fs for industrial scale. Recommended 30 ns for balance. Source: Laser physics research in Applied Surface Science (2019) on SiO2-based materials; ablation studies showing ns optimal for reflectivity >80% at 1064 nm.
Machine,Settings,repetition_rate,50,kHz,1,200,,Typical for pulsed cleaning to achieve uniform energy delivery; higher rates speed up process but risk heat accumulation on low-conductivity quartzite (melting point ~1700°C). Recommended 50 kHz avoids cumulative heating. Trade-off: >50 kHz faster but monitor for microcracks. Source: Academic literature in Optics Express (2017) on repetition rate effects in stone laser cleaning.
Machine,Settings,energy_density,2,J/cm²,0.1,20,,"Fluence range for contaminant removal (e.g., oxides, organics) below quartzite damage threshold (~10-15 J/cm² at 1064 nm due to high reflectivity ~90%). Recommended 2 J/cm² ensures safe cleaning without ablation of substrate. Conservative for heavy contamination. Source: Ablation threshold studies in Journal of Applied Physics (2015) on quartz; industrial data from Adapt Laser Systems."
Machine,Settings,spot_size,200,μm,0.1,500,,"Beam diameter range for industrial applications; smaller for fine detail cleaning (e.g., engravings on quartzite), larger for broad surface prep. Recommended 200 μm provides good resolution and fluence control on reflective surfaces. Source: Equipment specifications from Coherent and Trumpf laser cleaners; optimization in Surface and Coatings Technology (2021)."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination; multi-pass for heavy layers to build fluence gradually and prevent thermal stress/cracking in brittle quartzite. Recommended 2 passes for most industrial removal tasks. Source: Industry practice in laser cleaning case studies (e.g., restoration of natural stone, Heritage Science, 2019); manuals from Lasertec."
Machine,Settings,overlap_ratio,60,%,10,90,,Ensures uniform coverage without gaps or overexposure; 60% recommended for quartzite to achieve even cleaning on irregular surfaces while minimizing total energy input and HAZ. Higher for heavy contamination. Source: Process optimization studies in Lasers in Manufacturing and Materials Processing (2020); typical ranges from scanning software in IPG systems.
