Property,Value
Name,"Hard Water Mineral Scale"
Category,"thermal-damage"
Subcategory,"scale"
Description,"After evaporation of hard water, mineral deposits form as calcium and magnesium carbonates on surfaces, creating hard, adherent layers that build up over time. These deposits exhibit crystalline patterns and low solubility in water, so they differ from softer rust or greasy contaminants, and on materials like steel or glass they cling tightly while on stones such as marble they merge with natural composition, causing challenges in removal because scraping damages substrates or chemicals corrode metals. Laser cleaning succeeds effectively during pulsed exposure, as energy targets deposits selectively and vaporizes them without affecting underlying durability of aluminum or granite, so treatment preserves surface integrity in observations."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"low"
Visibility Hazard,"moderate"
Respiratory Protection,"half_mask"
Eye Protection,"goggles"
Skin Protection,"gloves"

COMPATIBLE MATERIALS,
"Aluminum","Compatible"
"Steel","Compatible"
"Stainless Steel","Compatible"
"Cast Iron","Compatible"
"Copper","Compatible"
"Bronze","Compatible"
"Brass","Compatible"
"Titanium","Compatible"
"Zinc","Compatible"
"Nickel","Compatible"
"Lead","Compatible"
"Tin","Compatible"
"Cobalt","Compatible"
"Chromium","Compatible"
"Crown Glass","Compatible"
"Float Glass","Compatible"
"Borosilicate Glass","Compatible"
"Aluminosilicate Glass","Compatible"
"Fused Silica","Compatible"
"Gorilla Glass","Compatible"
"Tempered Glass","Compatible"
"Alumina","Compatible"
"Silicon Carbide","Compatible"
"Zirconia","Compatible"
"Aluminum Nitride","Compatible"
"Boron Carbide","Compatible"
"Boron Nitride","Compatible"
"Silicon Nitride","Compatible"
"Granite","Compatible"
"Marble","Compatible"
"Limestone","Compatible"
"Sandstone","Compatible"
"Basalt","Compatible"
"Slate","Compatible"
"Quartzite","Compatible"
"Travertine","Compatible"
"Bluestone","Compatible"
"Soapstone","Compatible"
