# Bamboo Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/wood/hardwood/bamboo-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Bamboo Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/wood/hardwood/bamboo-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Bamboo,,,,,Material name
Basic,Info,Category,wood,,,,,Material category
Basic,Info,Subcategory,hardwood,,,,,Material subcategory
Basic,Info,Slug,bamboo-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for bamboo surface cleaning without charring
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength for optimal absorption in bamboo contaminants with minimal substrate damage
Machine,Settings,spotSize,50,μm,0.1,500,,Beam spot diameter for precise cleaning resolution on bamboo surface features
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for continuous cleaning coverage with thermal management
Machine,Settings,fluenceThreshold,2.5,J/cm²,0.3,4.5,,Optimal fluence level for contaminant ablation while preserving bamboo substrate
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for efficient contaminant removal with controlled thermal penetration
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for efficient area coverage while maintaining cleaning effectiveness
Machine,Settings,passCount,2,passes,1,10,,Number of cleaning passes for complete contaminant removal without substrate damage
Machine,Settings,overlapRatio,50,%,10,90,,Beam overlap percentage for uniform cleaning coverage across bamboo surface
Machine,Settings,power,50,W,20,200,,"Typical range for delicate organic materials like bamboo to remove surface contaminants without charring; starting at 50 W for controlled ablation. Max safe to avoid substrate damage based on thermal sensitivity of lignocellulosic fibers. Source: Studies on laser cleaning of wood (e.g., Journal of Cultural Heritage, 2018, adapted for bamboo)."
Machine,Settings,scan_speed,1000,mm/s,10,5000,,"Effective speeds balance cleaning efficiency and heat input; slower for heavy contamination (500-1000 mm/s), faster for light (2000-3000 mm/s). Recommended 1000 mm/s for bamboo to minimize thermal damage. Source: Industry manuals from IPG Photonics and Laserax equipment guidelines for organic surfaces."
Machine,Settings,pulse_width,20,ns,0.1,1000,,Nanosecond regime preferred for bamboo to achieve ablation with minimal heat-affected zone (HAZ); picosecond (ps) or femtosecond (fs) reduce HAZ further but are costlier and less common for industrial cleaning at 1064 nm. Avoid longer pulses to prevent burning. Source: Laser physics research in Optics and Lasers in Engineering (2020) on pulsed laser interactions with biopolymers.
Machine,Settings,repetition_rate,50,kHz,1,200,,"Typical for cleaning organics; 20-50 kHz recommended for bamboo to enable fast processing while limiting heat accumulation due to low thermal conductivity. Higher rates (>100 kHz) increase speed but risk overheating. Source: Academic literature, e.g., Applied Surface Science (2019) on pulse repetition effects in laser ablation of natural fibers."
Machine,Settings,energy_density,1.5,J/cm²,0.1,20,,"Fluence range for contaminant removal on bamboo; damage threshold ~5-10 J/cm² for lignocellulosic materials, so stay below 5 J/cm². Recommended 1.5 J/cm² for safe cleaning without substrate ablation. Conservative due to bamboo's low melting/decomposition point (~200-300°C). Source: Ablation threshold studies in Journal of Applied Physics (2017) for wood and cellulose."
Machine,Settings,spot_size,200,μm,0.1,500,,"Beam diameter range for precise cleaning; smaller (100-200 μm) for fine details on bamboo texture, larger (300-500 μm) for broad areas. Recommended 200 μm for uniform coverage on fibrous surfaces. Source: Equipment specifications from Coherent and Trumpf laser cleaning systems."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass (2-5) for heavy layers; recommended 2 passes for bamboo to ensure complete removal while monitoring for thermal effects. Source: Industry case studies on laser surface preparation for natural materials (e.g., SPIE Proceedings, 2021)."
Machine,Settings,overlap_ratio,50,%,10,90,,Ensures uniform coverage without excessive overlap-induced heat; 50% recommended for bamboo to achieve even cleaning on irregular surfaces while avoiding hotspots. Typical range from process optimization. Source: Optimization studies in Lasers in Manufacturing and Materials Processing (2022).
Property,material_characteristics,fractureToughness,2.47,MPa√m,,,ai_research,Material property: fractureToughness
Property,material_characteristics,density,700,kg/m³,,,ai_research,Material property: density
Property,material_characteristics,oxidationResistance,168,kJ/mol,,,ai_research,Material property: oxidationResistance
Property,material_characteristics,youngsModulus,21.5,GPa,,,ai_research,Material property: youngsModulus
Property,material_characteristics,hardness,6144,N,,,ai_research,Material property: hardness
Property,material_characteristics,compressiveStrength,56,MPa,,,ai_research,Material property: compressiveStrength
Property,material_characteristics,tensileStrength,180,MPa,,,ai_research,Material property: tensileStrength
Property,material_characteristics,flexuralStrength,140,MPa,,,ai_research,Material property: flexuralStrength
Property,material_characteristics,corrosionResistance,0.75,dimensionless (durability index),,,ai_research,Material property: corrosionResistance
Property,material_characteristics,porosity,0.58,fraction,,,ai_research,Material property: porosity
Property,material_characteristics,laserDamageThreshold,4.2,J/cm²,,,scientific_literature,Material property: laserDamageThreshold
Property,laser_material_interaction,absorptivity,0.85,dimensionless,0.7,0.95,ai_research,Material property: absorptivity
Property,laser_material_interaction,absorptionCoefficient,500000,m⁻¹,100000,1000000,ai_research,Material property: absorptionCoefficient
Property,laser_material_interaction,laserDamageThreshold,5,J/cm²,1,10,ai_research,Material property: laserDamageThreshold
Property,laser_material_interaction,thermalShockResistance,1.2,MW/m,0.5,2,ai_research,Material property: thermalShockResistance
