# Aluminum Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/metal/non-ferrous/aluminum-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Aluminum Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/metal/non-ferrous/aluminum-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Aluminum,,,,,Material name
Basic,Info,Category,metal,,,,,Material category
Basic,Info,Subcategory,non-ferrous,,,,,Material subcategory
Basic,Info,Slug,aluminum-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Aluminum oxide layer removal
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength for optimal Aluminum absorption and minimal substrate damage
Machine,Settings,spotSize,50,μm,0.1,500,,Beam spot diameter for effective cleaning resolution and energy density
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for continuous cleaning coverage with thermal management
Machine,Settings,energyDensity,5.1,J/cm²,0.1,20,,Fluence threshold for Aluminum oxide removal without substrate damage
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for efficient oxide removal without excessive thermal diffusion
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for efficient coverage and cleaning effectiveness
Machine,Settings,passCount,3,passes,1,10,,Recommended number of passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal pulse overlap for uniform cleaning coverage
Machine,Settings,power,100,W,50,500,,Typical range for industrial cleaning of aluminum to remove contaminants without melting; starting at 100W balances efficiency and safety. Max limited by aluminum's high reflectivity and thermal conductivity to avoid substrate damage. Source: IPG Photonics YLR series specs and study in Optics and Lasers in Engineering (2018) on metal cleaning thresholds.
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Effective speeds for light to heavy contamination on aluminum; slower for heavy (e.g., oxide layers), faster for light oils. Recommended 1500 mm/s optimizes removal while minimizing heat buildup due to aluminum's conductivity. Source: Industry standards from Laserax equipment manuals and Journal of Cleaner Production (2020) case studies."
Machine,Settings,pulse_width,50,ns,0.1,1000,,Nanosecond regime preferred for cost-effective industrial cleaning; picosecond (ps) or femtosecond reduces HAZ but increases cost. 50 ns recommended for aluminum to ablate contaminants with minimal thermal diffusion. Source: Laser physics research in Applied Surface Science (2019) comparing pulse regimes for metals.
