Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Beech surface cleaning without charring"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for Beech absorption characteristics"
"spotSize","100","μm","0.1","500","Focused spot size for precise cleaning resolution"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Fluence threshold for effective contaminant removal from Beech surface"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning without thermal damage"
"passCount","2","passes","1","10","Recommended number of passes for complete cleaning"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning coverage"
"power","150","W","50","300","Typical range for 1064 nm laser cleaning of wood like Beech to remove contaminants without charring; starting at 150 W balances efficiency and safety. Max avoids thermal damage given Beech's low thermal conductivity (~0.15 W/mK). Source: Studies on Nd:YAG laser cleaning of wooden artifacts (e.g., J. Cult. Herit. 2015, vol. 16, pp. 680-687)."
"scan_speed","1000","mm/s","10","5000","Effective range for contamination removal; slower (200-500 mm/s) for heavy soiling, faster (1000-2000 mm/s) for light dirt. Recommended 1000 mm/s optimizes cleaning rate while minimizing heat input on Beech. Source: Industry guidelines from laser cleaning systems like those from IPG Photonics manuals."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for 1064 nm cleaning of organics like wood; avoids excessive heat-affected zone compared to longer pulses, while picosecond/femtosecond are overkill for industrial apps. 20 ns recommended for Beech to limit thermal diffusion. Source: Laser physics reviews on ablation of polymers/wood (e.g., Appl. Phys. A 2018, vol. 124, art. 456)."
"repetition_rate","30","kHz","1","200","Standard for pulsed cleaning; lower rates (10-30 kHz) reduce heat accumulation in low-conductivity Beech, higher (50-100 kHz) speed up process but risk damage. 30 kHz balances speed and safety. Source: Academic literature on pulse train effects in wood laser processing (e.g., Opt. Lasers Eng. 2020, vol. 132, 106089)."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for contaminant ablation without substrate harm; Beech damage threshold ~2-4 J/cm² at 1064 nm due to absorption and low reflectivity (~10-20%). 1.5 J/cm² recommended for safe cleaning. Source: Ablation threshold studies on hardwoods (e.g., Wood Sci. Technol. 2017, vol. 51, pp. 1285-1302)."
"spot_size","300","μm","0.1","500","Beam diameter range for precision vs. area coverage; smaller (100-300 μm) for detailed Beech surface prep, larger (500-1000 μm) for broad cleaning. 300 μm recommended to control fluence on uneven wood grain. Source: Equipment specs from manufacturers like Coherent and Adapt Laser Systems."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy layers; 2 passes typical for complete removal on Beech without overexposure. Source: Case studies in industrial wood restoration (e.g., J. Laser Appl. 2019, vol. 31, 022501)."
"overlap_ratio","70","%","10","90","Ensures uniform coverage and avoids gaps/striping; 70% optimal for even energy distribution on Beech's surface texture. Source: Process optimization in laser scanning literature (e.g., Surf. Coat. Technol. 2021, vol. 405, 126623)."
