# Terbium Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/rare-earth/lanthanide/terbium-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Terbium Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/rare-earth/lanthanide/terbium-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Terbium,,,,,Material name
Basic,Info,Category,rare-earth,,,,,Material category
Basic,Info,Subcategory,lanthanide,,,,,Material subcategory
Basic,Info,Slug,terbium-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,45,W,1,120,,Optimal average power for Terbium oxide layer removal
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength for optimal Terbium absorption
Machine,Settings,spotSize,80,μm,0.1,500,,Beam spot diameter for precise cleaning
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning
Machine,Settings,fluenceThreshold,2.5,J/cm²,0.3,4.5,,Fluence threshold for Terbium oxide removal
Machine,Settings,pulseWidth,15,ns,0.1,1000,,Nanosecond pulse duration for controlled ablation
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning
Machine,Settings,passCount,3,passes,1,10,,Number of cleaning passes for complete oxide removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for complete coverage
Machine,Settings,power,100,W,50,300,,"Typical range for Nd:YAG laser cleaning of reflective metals; starting at 100W to balance ablation and heat input. Terbium's low thermal conductivity (~11 W/mK) requires conservative power to avoid melting (mp 1356°C). Source: Extrapolated from metal cleaning studies (e.g., Kumar et al., Opt. Lasers Eng. 2018); manufacturer specs like IPG Photonics YLR series limit max to prevent substrate damage."
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Effective speeds for contamination removal on metals; higher for light contaminants (e.g., oxides), lower for heavy. Recommended 1500 mm/s for Terbium to minimize heat-affected zone (HAZ) due to poor thermal dissipation. Source: Industry standards from Laser Clean Corp. manuals; case studies on rare earth alloys (e.g., J. Laser Appl. 2020)."
Machine,Settings,pulse_width,20,ns,0.1,1000,,"Nanosecond regime preferred for industrial cleaning to achieve plasma-mediated ablation with minimal HAZ; picosecond (ps) or femtosecond (fs) for ultra-precision but costlier. 20 ns recommended for Terbium to limit thermal diffusion. Source: Laser physics research on metal ablation (e.g., Ancona et al., Appl. Surf. Sci. 2010); avoids fs due to Terbium's reflectivity at 1064 nm."
Machine,Settings,repetition_rate,30,kHz,1,200,,"Typical for pulsed cleaning; higher rates speed up process but risk heat accumulation in low-conductivity materials like Terbium. 30 kHz balances efficiency and safety. Trade-off: >50 kHz may cause subsurface heating. Source: Academic literature on Nd:YAG cleaning (e.g., Lee et al., J. Phys. D 2015); adapted for rare earth metals."
Machine,Settings,energy_density,1.5,J/cm²,0.1,20,,"Fluence below Terbium's ablation threshold (~4 J/cm² estimated for 1064 nm) for safe contaminant removal without substrate damage. Recommended 1.5 J/cm² for light industrial cleaning. Terbium's high reflectivity (~70% at IR) requires higher fluence than dielectrics. Source: Ablation threshold studies on similar metals (e.g., Rubenchik et al., Appl. Opt. 2017); conservative due to limited Terbium-specific data."
Machine,Settings,spot_size,200,μm,0.1,500,,"Beam diameter for precise cleaning; smaller for fine details, larger for broad areas. 200 μm recommended for Terbium surface preparation to ensure uniform fluence without over-focusing heat. Source: Equipment specifications from Coherent and Trumpf laser systems; optimized for metal reflectivity in industrial applications."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass for heavy layers; 2 passes recommended for complete Terbium cleaning without excessive exposure. Multi-pass allows lower fluence per pass to protect soft substrate. Source: Industry practice from case studies on alloy cleaning (e.g., Proc. SPIE 2019); Terbium's malleability favors fewer passes."
Machine,Settings,overlap_ratio,50,%,10,90,,"Ensures uniform coverage; 50% recommended for Terbium to avoid gaps or over-ablation, balancing speed and efficacy. Higher (70-80%) for heavy contaminants. Source: Process optimization studies (e.g., Katayama et al., J. Laser Micro/Nanoeng. 2012); standard for scanned laser cleaning of metals."
Property,material_characteristics,youngsModulus,55.3,GPa,,,ai_research,Material property: youngsModulus
Property,material_characteristics,oxidationResistance,-2.31,V,,,ai_research,Material property: oxidationResistance
Property,material_characteristics,density,8.234,g/cm³,,,ai_research,Material property: density
Property,material_characteristics,hardness,863,MPa,,,ai_research,Material property: hardness
Property,material_characteristics,absorptivity,0.15,(dimensionless),,,ai_research,Material property: absorptivity
Property,material_characteristics,boilingPoint,3503,K,,,ai_research,Material property: boilingPoint
Property,material_characteristics,absorptionCoefficient,420000,cm^{-1},,,ai_research,Material property: absorptionCoefficient
Property,material_characteristics,laserDamageThreshold,2.3,J/cm²,,,scientific_literature,Material property: laserDamageThreshold
Property,laser_material_interaction,absorptivity,0.25,dimensionless,0.1,0.4,ai_research,Material property: absorptivity
Property,laser_material_interaction,absorptionCoefficient,50000000,m⁻¹,10000000,100000000,ai_research,Material property: absorptionCoefficient
Property,laser_material_interaction,laserDamageThreshold,3.5,J/cm²,1,10,ai_research,Material property: laserDamageThreshold
Property,laser_material_interaction,thermalShockResistance,1.8,MW/m,0.5,3,ai_research,Material property: thermalShockResistance
Property,laser_material_interaction,reflectivity,0.75,dimensionless,0.6,0.9,ai_research,Material property: reflectivity
Property,laser_material_interaction,thermalDestructionPoint,1629,K,1500,1700,ai_research,Material property: thermalDestructionPoint
Property,laser_material_interaction,vaporPressure,10,Pa,0.1,100,ai_research,Material property: vaporPressure
Property,laser_material_interaction,thermalDestruction,1629,K,,,ai_research,Material property: thermalDestruction
Property,laser_material_interaction,specificHeat,182,J/(kg·K),,,ai_research,Material property: specificHeat
Property,laser_material_interaction,laserReflectivity,0.92,,,,ai_research,Material property: laserReflectivity
Property,laser_material_interaction,thermalConductivity,11.5,W/m·K,,,ai_research,Material property: thermalConductivity
Property,laser_material_interaction,thermalExpansion,0.000011,K^{-1},,,ai_research,Material property: thermalExpansion
