Parameter,Value,Unit,Min,Max,Description
"powerRange","90","W","1","120","Optimal average power for Breccia surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for Breccia mineral absorption characteristics"
"spotSize","80","μm","0.1","500","Beam spot diameter for precise cleaning control"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning coverage"
"energyDensity","3.5","J/cm²","0.1","20","Fluence threshold for effective contaminant removal"
"pulseWidth","12","ns","0.1","1000","Short pulse duration for efficient ablation of surface contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for efficient area coverage"
"passCount","2","passes","1","10","Recommended number of cleaning passes for complete surface treatment"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning results"
"power","100","W","50","300","Typical range for industrial cleaning of stone materials like Breccia (carbonate-based rock similar to marble) using 1064 nm lasers to remove contaminants without substrate damage; starting at 100 W allows controlled ablation. Max safe ~300 W to avoid cracking due to low thermal conductivity (~2 W/m·K). Source: Manufacturer specs from IPG Photonics fiber lasers for stone cleaning; academic papers on marble ablation (e.g., Pouli et al., Applied Physics A, 2010)."
"scan_speed","500","mm/s","10","5000","Effective range for contaminant removal on Breccia; slower speeds (200-500 mm/s) for heavy contamination (e.g., rust or oils), faster (up to 2000 mm/s) for light dust. Recommended 500 mm/s balances efficiency and uniformity. Source: Industry standards from laser cleaning equipment manuals (e.g., Adapt Laser Systems); case studies on stone surface preparation."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for 1064 nm cleaning of Breccia to achieve photothermal ablation with minimal heat-affected zone (HAZ <10 μm); picosecond (ps) or femtosecond (fs) reduce HAZ further but increase cost—ns sufficient for industrial use. Avoid fs for porous stones to prevent micro-cracking. Source: Laser physics research on stone ablation (e.g., Marczak et al., Journal of Cultural Heritage, 2008)."
"repetition_rate","20","kHz","1","200","Typical for pulsed 1064 nm lasers in stone cleaning; 20 kHz recommended for Breccia to enable fast processing while limiting heat accumulation (Breccia melting point ~800-1200°C, reflectivity ~0.3-0.5 at 1064 nm). Higher rates (>50 kHz) risk thermal buildup in low-conductivity materials. Source: Academic literature on Nd:YAG cleaning of marbles (e.g., Verges-Belmin, Studies in Conservation, 2005)."
"energy_density","1","J/cm²","0.1","20","Fluence range for safe contaminant removal on Breccia; damage threshold ~3 J/cm² (based on carbonate stone studies), so stay below 2.5 J/cm² to avoid surface pitting. Recommended 1 J/cm² for effective cleaning with low risk. Source: Ablation threshold studies for limestones/marble at 1064 nm (e.g., Gross et al., Applied Surface Science, 2001). Conservative estimate due to Breccia's variable composition."
"spot_size","500","μm","0.1","500","Beam diameter range for industrial cleaning; smaller (200 μm) for fine details on Breccia surfaces, larger (800 μm) for broad areas. 500 μm recommended for uniform coverage on porous stone without excessive overlap heating. Source: Equipment specifications from Coherent and Trumpf laser systems for surface preparation."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (up to 5) for heavy layers on Breccia; 2 passes recommended for complete removal while minimizing thermal stress. Multi-pass allows lower fluence per pass. Source: Industry practice and case studies on stone restoration (e.g., European Laser Cleaning Network reports)."
"overlap_ratio","50","%","10","90","Standard range for uniform scan coverage in laser cleaning; 50% recommended for Breccia to ensure no gaps in porous surfaces while avoiding over-heating. Higher overlap (70-80%) for heavy contamination. Source: Process optimization studies in industrial laser applications (e.g., LaserNet guidelines; research in Optics and Lasers in Engineering, 2015)."
