Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Soda-Lime Glass surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for Soda-Lime Glass absorption and minimal subsurface damage"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise cleaning with adequate energy density"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage and thermal management"
"scanSpeed","1150","mm/s","10","5000","Scan velocity for effective cleaning with controlled thermal input"
"power","100","W","50","500","Typical range for 1064 nm pulsed lasers in industrial cleaning of delicate substrates like soda-lime glass to remove contaminants without thermal damage; starting at 100 W for controlled ablation. Max limited to avoid heat accumulation given glass's low thermal conductivity (~1 W/m·K). Source: Manufacturer specs from IPG Photonics and Coherent for YAG lasers; academic review in 'Laser Cleaning' by Kononenko et al. (Optics and Lasers in Engineering, 2016)."
"scan_speed","1500","mm/s","10","5000","Effective range for contaminant removal on glass surfaces; slower speeds (e.g., 500 mm/s) for heavy contamination like oils/paints, faster (up to 3000 mm/s) for light dust. Recommended 1500 mm/s balances efficiency and minimal heat input. Source: Industry standards from Laser Cleaning Europe guidelines and equipment manuals (e.g., Adapt Laser Systems); case studies in Journal of Cultural Heritage (2018) for glass artifacts."
"pulse_width","20","ns","0.1","1000","Nanosecond regime (5-100 ns) preferred for cost-effective cleaning with sufficient peak power for contaminant ejection; picosecond (ps) or femtosecond (fs) reduce heat-affected zone (HAZ) but are overkill for most industrial glass cleaning due to transparency at 1064 nm. Recommended 20 ns minimizes thermal diffusion in glass (melting point ~500°C). Source: Laser physics research in Applied Surface Science (e.g., Palmieri et al., 2019) on ns vs. ps for dielectrics."
"repetition_rate","50","kHz","1","200","Typical 10-100 kHz for pulsed cleaning; higher rates speed up process but risk heat accumulation on low-conductivity glass (reflectivity ~4% at 1064 nm). Recommended 50 kHz for optimal balance in contaminant removal without substrate heating. Source: Academic literature in Optics Express (e.g., Anisimov et al., 2015) on repetition rate effects in laser ablation of glasses."
"energy_density","0.5","J/cm²","0.1","20","Fluence range for safe cleaning of contaminants; damage threshold for soda-lime glass at 1064 nm ns pulses is ~10-15 J/cm², so stay below 2 J/cm². Recommended 0.5 J/cm² for effective removal of industrial contaminants like rust/oils without cracking. Source: Ablation threshold studies in Journal of Applied Physics (e.g., Stuart et al., 1996) and Laser & Particle Beams (2017) for IR cleaning of dielectrics."
"spot_size","200","μm","0.1","500","Beam diameter range for precision cleaning; smaller spots (100 μm) for fine details on glass, larger (500 μm) for broad areas. Recommended 200 μm suits industrial surface preparation on soda-lime glass to ensure uniform fluence. Source: Equipment specifications from Trumpf and CleanLaser systems; process studies in Applied Optics (2020)."
"pass_count","2","passes","1","10","Single pass for light contamination, up to 5 for heavy layers; multi-pass preferred for glass to distribute energy and avoid damage. Recommended 2 passes for complete removal in industrial settings. Source: Industry practice from case studies in Surface and Coatings Technology (e.g., 2014 paper on glass cleaning) and manufacturer guidelines (e.g., Lasertec)."
"overlap_ratio","50","%","10","90","Typical 30-80% for uniform coverage without gaps or over-exposure; 50% recommended for soda-lime glass to ensure even cleaning while minimizing total energy input and potential thermal stress. Source: Process optimization studies in Lasers in Manufacturing and Materials Processing (2019) and industry standards from SPIE proceedings on scan strategies."
