# Soda-Lime Glass Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/glass/specialty-glass/soda-lime-glass-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Soda-Lime Glass Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/glass/specialty-glass/soda-lime-glass-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Soda-Lime Glass,,,,,Material name
Basic,Info,Category,glass,,,,,Material category
Basic,Info,Subcategory,specialty-glass,,,,,Material subcategory
Basic,Info,Slug,soda-lime-glass-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Soda-Lime Glass surface cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength optimized for Soda-Lime Glass absorption and minimal subsurface damage
Machine,Settings,spotSize,100,μm,0.1,500,,Beam spot diameter for precise cleaning with adequate energy density
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning coverage and thermal management
Machine,Settings,scanSpeed,1150,mm/s,10,5000,,Scan velocity for effective cleaning with controlled thermal input
Machine,Settings,power,100,W,50,500,,"Typical range for 1064 nm pulsed lasers in industrial cleaning of delicate substrates like soda-lime glass to remove contaminants without thermal damage; starting at 100 W for controlled ablation. Max limited to avoid heat accumulation given glass's low thermal conductivity (~1 W/m·K). Source: Manufacturer specs from IPG Photonics and Coherent for YAG lasers; academic review in 'Laser Cleaning' by Kononenko et al. (Optics and Lasers in Engineering, 2016)."
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Effective range for contaminant removal on glass surfaces; slower speeds (e.g., 500 mm/s) for heavy contamination like oils/paints, faster (up to 3000 mm/s) for light dust. Recommended 1500 mm/s balances efficiency and minimal heat input. Source: Industry standards from Laser Cleaning Europe guidelines and equipment manuals (e.g., Adapt Laser Systems); case studies in Journal of Cultural Heritage (2018) for glass artifacts."
Machine,Settings,pulse_width,20,ns,0.1,1000,,"Nanosecond regime (5-100 ns) preferred for cost-effective cleaning with sufficient peak power for contaminant ejection; picosecond (ps) or femtosecond (fs) reduce heat-affected zone (HAZ) but are overkill for most industrial glass cleaning due to transparency at 1064 nm. Recommended 20 ns minimizes thermal diffusion in glass (melting point ~500°C). Source: Laser physics research in Applied Surface Science (e.g., Palmieri et al., 2019) on ns vs. ps for dielectrics."
Machine,Settings,repetition_rate,50,kHz,1,200,,"Typical 10-100 kHz for pulsed cleaning; higher rates speed up process but risk heat accumulation on low-conductivity glass (reflectivity ~4% at 1064 nm). Recommended 50 kHz for optimal balance in contaminant removal without substrate heating. Source: Academic literature in Optics Express (e.g., Anisimov et al., 2015) on repetition rate effects in laser ablation of glasses."
