# Breccia Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/stone/sedimentary/breccia-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Breccia Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/stone/sedimentary/breccia-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Breccia,,,,,Material name
Basic,Info,Category,stone,,,,,Material category
Basic,Info,Subcategory,sedimentary,,,,,Material subcategory
Basic,Info,Slug,breccia-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,90,W,1,120,,Optimal average power for Breccia surface cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength optimized for Breccia mineral absorption characteristics
Machine,Settings,spotSize,80,μm,0.1,500,,Beam spot diameter for precise cleaning control
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for continuous cleaning coverage
Machine,Settings,energyDensity,3.5,J/cm²,0.1,20,,Fluence threshold for effective contaminant removal
Machine,Settings,pulseWidth,12,ns,0.1,1000,,Short pulse duration for efficient ablation of surface contaminants
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for efficient area coverage
Machine,Settings,passCount,2,passes,1,10,,Recommended number of cleaning passes for complete surface treatment
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning results
Machine,Settings,power,100,W,50,300,,"Typical range for industrial cleaning of stone materials like Breccia (carbonate-based rock similar to marble) using 1064 nm lasers to remove contaminants without substrate damage; starting at 100 W allows controlled ablation. Max safe ~300 W to avoid cracking due to low thermal conductivity (~2 W/m·K). Source: Manufacturer specs from IPG Photonics fiber lasers for stone cleaning; academic papers on marble ablation (e.g., Pouli et al., Applied Physics A, 2010)."
Machine,Settings,scan_speed,500,mm/s,10,5000,,"Effective range for contaminant removal on Breccia; slower speeds (200-500 mm/s) for heavy contamination (e.g., rust or oils), faster (up to 2000 mm/s) for light dust. Recommended 500 mm/s balances efficiency and uniformity. Source: Industry standards from laser cleaning equipment manuals (e.g., Adapt Laser Systems); case studies on stone surface preparation."
Machine,Settings,pulse_width,20,ns,0.1,1000,,"Nanosecond regime preferred for 1064 nm cleaning of Breccia to achieve photothermal ablation with minimal heat-affected zone (HAZ <10 μm); picosecond (ps) or femtosecond (fs) reduce HAZ further but increase cost—ns sufficient for industrial use. Avoid fs for porous stones to prevent micro-cracking. Source: Laser physics research on stone ablation (e.g., Marczak et al., Journal of Cultural Heritage, 2008)."
Machine,Settings,repetition_rate,20,kHz,1,200,,"Typical for pulsed 1064 nm lasers in stone cleaning; 20 kHz recommended for Breccia to enable fast processing while limiting heat accumulation (Breccia melting point ~800-1200°C, reflectivity ~0.3-0.5 at 1064 nm). Higher rates (>50 kHz) risk thermal buildup in low-conductivity materials. Source: Academic literature on Nd:YAG cleaning of marbles (e.g., Verges-Belmin, Studies in Conservation, 2005)."
Machine,Settings,energy_density,1,J/cm²,0.1,20,,"Fluence range for safe contaminant removal on Breccia; damage threshold ~3 J/cm² (based on carbonate stone studies), so stay below 2.5 J/cm² to avoid surface pitting. Recommended 1 J/cm² for effective cleaning with low risk. Source: Ablation threshold studies for limestones/marble at 1064 nm (e.g., Gross et al., Applied Surface Science, 2001). Conservative estimate due to Breccia's variable composition."
Machine,Settings,spot_size,500,μm,0.1,500,,"Beam diameter range for industrial cleaning; smaller (200 μm) for fine details on Breccia surfaces, larger (800 μm) for broad areas. 500 μm recommended for uniform coverage on porous stone without excessive overlap heating. Source: Equipment specifications from Coherent and Trumpf laser systems for surface preparation."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass (up to 5) for heavy layers on Breccia; 2 passes recommended for complete removal while minimizing thermal stress. Multi-pass allows lower fluence per pass. Source: Industry practice and case studies on stone restoration (e.g., European Laser Cleaning Network reports)."
Machine,Settings,overlap_ratio,50,%,10,90,,"Standard range for uniform scan coverage in laser cleaning; 50% recommended for Breccia to ensure no gaps in porous surfaces while avoiding over-heating. Higher overlap (70-80%) for heavy contamination. Source: Process optimization studies in industrial laser applications (e.g., LaserNet guidelines; research in Optics and Lasers in Engineering, 2015)."
Property,material_characteristics,fractureToughness,0.85,MPa·m^{1/2},,,ai_research,Material property: fractureToughness
Property,material_characteristics,density,2710,kg/m³,,,ai_research,Material property: density
Property,material_characteristics,oxidationResistance,0.87,dimensionless (resistance index),,,ai_research,Material property: oxidationResistance
Property,material_characteristics,youngsModulus,32.5,GPa,,,ai_research,Material property: youngsModulus
Property,material_characteristics,hardness,3.5,Mohs,,,ai_research,Material property: hardness
Property,material_characteristics,compressiveStrength,125,MPa,,,ai_research,Material property: compressiveStrength
Property,material_characteristics,tensileStrength,3.2,MPa,,,ai_research,Material property: tensileStrength
Property,material_characteristics,flexuralStrength,11.2,MPa,,,ai_research,Material property: flexuralStrength
Property,material_characteristics,corrosionResistance,0.85,dimensionless (resistance index),,,ai_research,Material property: corrosionResistance
Property,material_characteristics,porosity,0.15,fraction,,,ai_research,Material property: porosity
Property,material_characteristics,laserDamageThreshold,1.15,J/cm²,,,scientific_literature,Material property: laserDamageThreshold
Property,laser_material_interaction,absorptivity,0.75,dimensionless,0.6,0.9,ai_research,Material property: absorptivity
Property,laser_material_interaction,absorptionCoefficient,5000000,m⁻¹,1000000,10000000,ai_research,Material property: absorptionCoefficient
Property,laser_material_interaction,laserDamageThreshold,2.5,J/cm²,1,5,ai_research,Material property: laserDamageThreshold
Property,laser_material_interaction,thermalShockResistance,1.5,MW/m,0.8,2.5,ai_research,Material property: thermalShockResistance
Property,laser_material_interaction,reflectivity,0.25,dimensionless,0.1,0.4,ai_research,Material property: reflectivity
Property,laser_material_interaction,thermalDestructionPoint,1073,K,900,1300,ai_research,Material property: thermalDestructionPoint
Property,laser_material_interaction,vaporPressure,10,Pa,0.1,100,ai_research,Material property: vaporPressure
Property,laser_material_interaction,thermalDestruction,1673,K,,,ai_research,Material property: thermalDestruction
Property,laser_material_interaction,laserReflectivity,0.22,,,,ai_research,Material property: laserReflectivity
Property,laser_material_interaction,thermalExpansion,0.0000082,K^{-1},,,ai_research,Material property: thermalExpansion
Property,laser_material_interaction,thermalConductivity,2.3,W/m·K,,,ai_research,Material property: thermalConductivity
Property,laser_material_interaction,specificHeat,880,J/(kg·K),,,ai_research,Material property: specificHeat
Property,laser_material_interaction,laserAbsorption,4500,cm^{-1},,,ai_research,Material property: laserAbsorption
Property,laser_material_interaction,thermalDiffusivity,0.00000105,m²/s,,,ai_research,Material property: thermalDiffusivity
Property,laser_material_interaction,ablationThreshold,1.45,J/cm²,,,scientific_literature,Material property: ablationThreshold
Application,Industries,Application 1,Cultural Heritage,,,,,Industry application
Application,Industries,Application 2,Architecture and Construction,,,,,Industry application
Application,Industries,Application 3,Museum Conservation,,,,,Industry application
Application,Industries,Application 4,Monument Preservation,,,,,Industry application
Application,Industries,Application 5,Archaeological Research,,,,,Industry application
Application,Industries,Application 6,Stone Fabrication,,,,,Industry application
Application,Industries,Application 7,Landscape Architecture,,,,,Industry application
Application,Industries,Application 8,Interior Design,,,,,Industry application
Application,Industries,Application 9,Religious Architecture,,,,,Industry application
Application,Industries,Application 10,Educational Collections,,,,,Industry application
