# Maple Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/wood/hardwood/maple-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Maple Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/wood/hardwood/maple-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Maple,,,,,Material name
Basic,Info,Category,wood,,,,,Material category
Basic,Info,Subcategory,hardwood,,,,,Material subcategory
Basic,Info,Slug,maple-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,45,W,1,120,,Optimal average power for surface cleaning without charring
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength for controlled wood ablation with minimal thermal damage
Machine,Settings,spotSize,80,μm,0.1,500,,Optimal beam diameter for precise cleaning control on wood surface
Machine,Settings,repetitionRate,50,kHz,1,200,,Balanced repetition rate for efficient cleaning with controlled thermal input
Machine,Settings,energyDensity,2.8,J/cm²,0.1,20,,Fluence threshold for effective contaminant removal without wood damage
Machine,Settings,pulseWidth,12,ns,0.1,1000,,Nanosecond pulse duration for efficient contaminant removal with minimal substrate heating
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning coverage
Machine,Settings,passCount,2,passes,1,10,,Recommended number of passes for complete surface cleaning
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning without excessive thermal buildup
Machine,Settings,power,100,W,50,200,,"Typical range for ns fiber lasers cleaning delicate organics like wood to avoid charring; starting at 100W balances efficiency and safety. Source: Manufacturer specs from IPG Photonics for 1064 nm systems; academic review in 'Laser Cleaning of Wood Surfaces' (Journal of Cultural Heritage, 2018)."
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Effective speeds for contamination removal on wood; slower for heavy soiling (500-1000 mm/s), faster for light (2000-3000 mm/s). Recommended 1500 mm/s for optimal balance on maple. Source: Industry standards from Laserax equipment manuals; case studies in industrial surface prep."
Machine,Settings,pulse_width,50,ns,0.1,1000,,"Nanosecond regime preferred for cost-effective cleaning of organics; picosecond (ps) reduces heat-affected zone but is less common for wood. 50 ns minimizes thermal damage to maple's low-conductivity structure. Source: Laser physics research in 'Ultrashort Pulse Lasers for Material Processing' (Applied Physics Reviews, 2020)."
