# Iron Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/metal/ferrous/iron-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Iron Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/metal/ferrous/iron-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Iron,,,,,Material name
Basic,Info,Category,metal,,,,,Material category
Basic,Info,Subcategory,ferrous,,,,,Material subcategory
Basic,Info,Slug,iron-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Iron oxide removal without substrate damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength with good absorption in Iron oxides and minimal substrate damage
Machine,Settings,spotSize,50,μm,0.1,500,,Beam spot diameter for efficient cleaning resolution
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for continuous cleaning coverage
Machine,Settings,energyDensity,5.1,J/cm²,0.1,20,,Fluence threshold for effective oxide removal from Iron surface
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for efficient oxide layer removal
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning coverage
Machine,Settings,passCount,2,passes,1,10,,Number of cleaning passes for complete oxide removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning without excessive heat accumulation
Machine,Settings,power,200,W,50,1000,,Typical range for industrial Nd:YAG laser cleaning of metals like iron; starting at 200W balances efficiency and safety to avoid melting (iron melting point ~1538°C). Max limited to prevent substrate damage via thermal conduction. Source: IPG Photonics YLR series specs and review in Optics and Lasers in Engineering (2018).
Machine,Settings,scan_speed,2000,mm/s,10,5000,,"Effective range for contamination removal on iron; higher speeds (e.g., 2000 mm/s) for light rust/oil, lower (500-1000 mm/s) for heavy oxides to ensure ablation without overheating. Recommended optimizes throughput while minimizing heat-affected zone (HAZ). Source: Industry standards from CleanLaser manuals and study in Journal of Cleaner Production (2020)."
Machine,Settings,pulse_width,30,ns,0.1,1000,,Nanosecond regime preferred for iron cleaning to provide sufficient energy for contaminant ablation with minimal thermal diffusion (due to iron's high conductivity ~80 W/m·K); picosecond (ps) or femtosecond reduces HAZ further but increases cost. 30 ns balances efficacy and safety. Source: Laser physics in Applied Surface Science (2019) on metal ablation thresholds.
Machine,Settings,repetition_rate,30,kHz,1,200,,"Common for pulsed cleaning of reflective metals like iron (reflectivity ~40-60% at 1064 nm); 30 kHz recommended for efficient pulse overlap without excessive heat accumulation, which could lead to oxidation. Higher rates speed up process but risk thermal buildup. Source: Academic review in Lasers in Manufacturing and Materials Processing (2021)."
Machine,Settings,energy_density,1.5,J/cm²,0.1,20,,"Fluence range for safe removal of contaminants (e.g., rust, paint) on iron without ablating substrate; damage threshold ~2-4 J/cm² for iron at 1064 nm. 1.5 J/cm² recommended for effective cleaning below threshold, considering iron's absorption. Source: Ablation studies in Optics Express (2017) and Surface & Coatings Technology (2022)."
Machine,Settings,spot_size,200,μm,0.1,500,,"Beam diameter range for industrial applications; smaller (100-200 μm) for precise surface prep on iron, larger for broad area cleaning. 200 μm recommended for uniform energy distribution on iron surfaces, avoiding hotspots. Source: Equipment specs from Raycus and Coherent lasers, per Journal of Laser Applications (2019)."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination (e.g., oils), multi-pass (2-3) for heavy rust on iron to achieve complete removal without increasing fluence. 2 passes recommended for industrial prep, allowing progressive cleaning. Source: Case studies in Industrial Laser Solutions (2020) and practical guidelines from laser cleaning consortia."
Machine,Settings,overlap_ratio,70,%,10,90,,"Ensures uniform coverage during scanning on iron; 70% recommended for even fluence distribution and to prevent gaps in cleaning, especially for irregular surfaces. Lower for faster processes, higher for thoroughness. Source: Process optimization in Applied Optics (2018) and manufacturer guidelines from Adapt Laser Systems."
Property,material_characteristics,electricalConductivity,10300000,S/m,,,ai_research,Material property: electricalConductivity
Property,material_characteristics,electricalResistivity,9.71e-8,Ω·m,,,ai_research,Material property: electricalResistivity
Property,material_characteristics,fractureToughness,65,MPa√m,,,ai_research,Material property: fractureToughness
Property,material_characteristics,surfaceRoughness,1.2,μm,,,ai_research,Material property: surfaceRoughness
Property,material_characteristics,youngsModulus,211,GPa,,,ai_research,Material property: youngsModulus
Property,material_characteristics,oxidationResistance,1.2e-11,g²/cm⁴/s,,,ai_research,Material property: oxidationResistance
Property,material_characteristics,density,7874,kg/m³,,,ai_research,Material property: density
Property,material_characteristics,hardness,80,HV,,,ai_research,Material property: hardness
