# Iridium Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/metal/non-ferrous/iridium-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Iridium Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/metal/non-ferrous/iridium-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Iridium,,,,,Material name
Basic,Info,Category,metal,,,,,Material category
Basic,Info,Subcategory,non-ferrous,,,,,Material subcategory
Basic,Info,Slug,iridium-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,45,W,1,120,,Optimal average power for Iridium surface cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Fundamental Nd:YAG wavelength with good Iridium absorption
Machine,Settings,spotSize,50,μm,0.1,500,,Beam spot diameter for precise cleaning control
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for continuous cleaning coverage
Machine,Settings,fluenceThreshold,2.5,J/cm²,0.3,4.5,,Minimum fluence required for effective Iridium surface cleaning
Machine,Settings,pulseWidth,8,ns,0.1,1000,,Short pulse duration for efficient ablation with minimal heat diffusion
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for efficient area coverage
Machine,Settings,passCount,3,passes,1,10,,Recommended number of passes for complete contamination removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning results
Machine,Settings,power,100,W,50,500,,"Typical range for industrial Nd:YAG laser cleaning of refractory metals like Iridium, starting low due to high reflectivity (~90% at 1064 nm) to avoid excessive heating; max limited to prevent melting (mp 2446°C). Recommended start at 100 W for contamination removal. Source: IPG Photonics specs for YLR series; conservative estimate from metal cleaning studies (e.g., J. Laser Appl. 2018)."
