# Acrylic (PMMA) Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/plastic/thermoplastic/acrylic-pmma-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Acrylic (PMMA) Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/plastic/thermoplastic/acrylic-pmma-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Acrylic (PMMA),,,,,Material name
Basic,Info,Category,plastic,,,,,Material category
Basic,Info,Subcategory,thermoplastic,,,,,Material subcategory
Basic,Info,Slug,acrylic-pmma-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,30,W,1,120,,Low power for thermal-sensitive polymer cleaning
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength for controlled absorption
Machine,Settings,spotSize,100,μm,0.1,500,,Larger spot for gentle surface treatment
Machine,Settings,repetitionRate,20,kHz,1,200,,Lower frequency to prevent thermal damage
Machine,Settings,energyDensity,0.5,J/cm²,0.1,20,,Low energy density to avoid melting
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Short pulses for minimal thermal impact
Machine,Settings,scanSpeed,800,mm/s,10,5000,,Fast scanning to reduce heat accumulation
Machine,Settings,passCount,2,passes,1,10,,Multiple gentle passes for gradual cleaning
Machine,Settings,overlapRatio,30,%,10,90,,Lower overlap to prevent overheating
Machine,Settings,power,30,W,10,100,,Typical range for pulsed Nd:YAG lasers in polymer cleaning to avoid thermal damage; starting at 30W for PMMA surface preparation. Max safe ~100W before melting (PMMA melting point ~160°C). Source: Manufacturer specs from IPG Photonics and Adapt Laser Systems for delicate substrates.
Machine,Settings,scan_speed,2000,mm/s,10,5000,,"Effective range for contaminant removal; slower (500-1500 mm/s) for heavy contamination, faster (2000-5000 mm/s) for light. Recommended 2000 mm/s balances speed and control for PMMA's low thermal conductivity. Source: Industry standards from Laserax equipment manuals."
Machine,Settings,pulse_width,20,ns,0.1,1000,,"Nanosecond regime typical for industrial 1064 nm cleaning; picosecond (ps) or femtosecond preferred for minimal HAZ but less common. 20 ns recommended to reduce heat accumulation in PMMA. Source: Laser physics research in Optics & Laser Technology (e.g., studies on polymer ablation thresholds)."
Machine,Settings,repetition_rate,20,kHz,1,200,,Standard for cleaning applications; 20 kHz recommended for PMMA to enable fast processing while minimizing heat buildup (higher rates increase accumulation risk). Trade-off: higher freq speeds cleaning but risks substrate damage. Source: Academic literature from Journal of Applied Physics on pulsed laser interactions with polymers.
Machine,Settings,energy_density,0.5,J/cm²,0.1,20,,"Fluence below PMMA damage threshold (~1.5-2 J/cm² at 1064 nm for ns pulses) for safe contaminant removal; 0.5 J/cm² optimal to ablate surface layers without substrate melting. Source: Ablation threshold studies in Applied Surface Science (e.g., PMMA IR laser interactions)."
Machine,Settings,spot_size,200,μm,0.1,500,,"Smaller spots (50-200 μm) for fine detail cleaning, larger (200-500 μm) for broad areas; 200 μm recommended for uniform PMMA surface prep considering beam reflectivity. Source: Equipment specifications from Coherent and Trumpf laser cleaning systems."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass (2-5) for heavy; 2 passes recommended for complete PMMA cleaning without excessive exposure. Source: Industry case studies from laser cleaning applications in plastics processing (e.g., SPIE proceedings)."
Machine,Settings,overlap_ratio,70,%,10,90,,Ensures uniform coverage; 70% recommended for even energy distribution on PMMA to prevent uneven heating or missed spots. Source: Process optimization studies in Laser Cleaning Handbook and academic papers on scan strategies.
Property,material_characteristics,density,1.18,g/cm³,,,,Material property: density
Property,material_characteristics,porosity,0,%,,,,Material property: porosity
Property,material_characteristics,surfaceRoughness,0.5,μm,,,,Material property: surfaceRoughness
Property,material_characteristics,tensileStrength,72,MPa,,,,Material property: tensileStrength
Property,material_characteristics,youngsModulus,3.3,GPa,,,,Material property: youngsModulus
Property,material_characteristics,hardness,0.095,GPa,,,,Material property: hardness
Property,material_characteristics,flexuralStrength,90,MPa,,,,Material property: flexuralStrength
Property,material_characteristics,oxidationResistance,2.5,μm/year,,,,Material property: oxidationResistance
Property,material_characteristics,corrosionResistance,0.92,mm/year,,,,Material property: corrosionResistance
Property,material_characteristics,compressiveStrength,72,MPa,,,,Material property: compressiveStrength
Property,material_characteristics,fractureToughness,3.5,MPa m^{1/2},,,,Material property: fractureToughness
Property,material_characteristics,electricalResistivity,100000000000000,Ω·m,,,,Material property: electricalResistivity
Property,laser_material_interaction,thermalDestruction,433,K,,,,Material property: thermalDestruction
Property,laser_material_interaction,laserAbsorption,0.15,dimensionless,,,,Material property: laserAbsorption
Property,laser_material_interaction,laserDamageThreshold,1.8,J/cm²,,,scientific_literature,Material property: laserDamageThreshold
Property,laser_material_interaction,ablationThreshold,0.7,J/cm²,,,scientific_literature,Material property: ablationThreshold
Property,laser_material_interaction,thermalDiffusivity,1.1e-7,m²/s,,,scientific_literature,Material property: thermalDiffusivity
Property,laser_material_interaction,thermalExpansion,0.00008,1/K,,,scientific_literature,Material property: thermalExpansion
Property,laser_material_interaction,specificHeat,1460,J/(kg·K),,,scientific_literature,Material property: specificHeat
Property,laser_material_interaction,thermalConductivity,0.19,W/m·K,,,scientific_literature,Material property: thermalConductivity
Property,laser_material_interaction,laserReflectivity,0.038,,,,scientific_literature,Material property: laserReflectivity
