Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power range for Silver cleaning considering thermal conductivity"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for Silver's moderate reflectivity and thermal processing"
"spotSize","50","μm","0.1","500","Optimal spot size for precision cleaning of Silver surfaces"
"repetitionRate","50","kHz","1","200","High repetition rate for efficient cleaning while managing heat accumulation"
"energyDensity","5.1","J/cm²","0.1","20","Fluence optimized for Silver ablation threshold and cleaning effectiveness"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation without excessive thermal damage"
"scanSpeed","500","mm/s","10","5000","Scan speed balancing cleaning efficiency and process control"
"passCount","3","passes","1","10","Number of passes for complete contaminant removal without substrate damage"
"overlapRatio","50","%","10","90","Optimal overlap between adjacent scan lines for uniform cleaning"
"power","100","W","50","500","Typical range for industrial Nd:YAG laser cleaning of reflective metals like silver; starting at 100W to account for high reflectivity (~98% at 1064 nm) reducing absorption; max limited to avoid melting (Tm=962°C); based on IPG Photonics and Laserax equipment specs for metal surface preparation."
"scan_speed","2000","mm/s","10","5000","Effective speeds for contamination removal on silver; 2000 mm/s recommended for optimal balance of cleaning rate and minimal heat accumulation due to silver's high thermal conductivity (429 W/m·K); lower for heavy contamination, higher for light; from industry manuals (e.g., Adapt Laser Systems) and process optimization studies."
"pulse_width","50","ns","0.1","1000","Nanosecond regime preferred for cost-effective cleaning of silver with low heat-affected zone (HAZ <10 μm); picosecond (ps) or femtosecond (fs) for ultra-precise applications but unnecessary for industrial contamination removal; ns avoids plasma shielding issues at 1064 nm; supported by laser physics research (e.g., J. Appl. Phys. studies on metal ablation)."
"repetition_rate","50","kHz","1","200","Standard for pulsed laser cleaning; 50 kHz recommended for silver to enable fast processing while limiting heat buildup from pulse overlap; higher rates increase speed but risk thermal damage on reflective surfaces; trade-off noted in academic literature (e.g., Opt. Lasers Eng. reviews on pulse train effects)."
"energy_density","1","J/cm²","0.1","20","Fluence range for safe removal of contaminants (e.g., oxides, fingerprints) on silver; below ablation threshold (~2.5 J/cm² for ns pulses at 1064 nm due to high reflectivity); 1.0 J/cm² recommended to minimize substrate damage; from ablation threshold studies (e.g., Appl. Surf. Sci. papers on silver at IR wavelengths)."
"spot_size","200","μm","0.1","500","Beam diameter range for industrial cleaning; 200 μm recommended for silver to provide good resolution on detailed surfaces while covering larger areas efficiently; smaller for fine features, larger for broad preparation; per equipment specifications (e.g., CleanLaser CL series manuals)."
"pass_count","2","passes","1","10","Typically 1-3 passes for light contamination on silver, up to 5 for heavy buildup; multi-pass (2 recommended) ensures complete removal without exceeding thermal limits; single pass possible for very light dirt; drawn from industry case studies (e.g., laser cleaning of cultural heritage silver artifacts in J. Cult. Herit.)."
"overlap_ratio","70","%","10","90","Standard overlap for uniform coverage in raster scanning; 70% recommended for silver to prevent streaking from high reflectivity and ensure even fluence distribution; lower (50%) for speed on large areas, higher (80%) for precision; from process optimization studies (e.g., Opt. Express on scan strategies for metals)."
