# Gneiss Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/stone/metamorphic/gneiss-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Gneiss Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/stone/metamorphic/gneiss-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Gneiss,,,,,Material name
Basic,Info,Category,stone,,,,,Material category
Basic,Info,Subcategory,metamorphic,,,,,Material subcategory
Basic,Info,Slug,gneiss-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,90,W,1,120,,Optimal power for stone surface restoration
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength for stone cleaning
Machine,Settings,spotSize,80,μm,0.1,500,,Moderate spot for effective treatment
Machine,Settings,repetitionRate,40,kHz,1,200,,Balanced frequency for stone cleaning
Machine,Settings,energyDensity,2.2,J/cm²,0.1,20,,Energy for contamination removal
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Controlled pulses for minimal damage
Machine,Settings,scanSpeed,400,mm/s,10,5000,,Steady scanning for uniform cleaning
Machine,Settings,passCount,2,passes,1,10,,Multiple passes for thorough treatment
Machine,Settings,overlapRatio,50,%,10,90,,Standard overlap for consistent results
Machine,Settings,power,200,W,50,1000,,"Typical range for industrial cleaning of hard stones like Gneiss using 1064 nm lasers to remove contaminants without substrate damage; starting at 200 W balances efficiency and safety. Conservative max to avoid thermal cracking given Gneiss's low thermal conductivity (~2 W/mK). Source: IPG Photonics equipment specs for stone cleaning; academic review in 'Laser Cleaning of Stone Surfaces' (J. Appl. Phys., 2018)."
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Range for effective contaminant removal on rocky surfaces; slower for heavy contamination (e.g., rust or oils), faster for light dust. Recommended 1500 mm/s for optimal balance on Gneiss to prevent overheating. Source: Industry standards from Laserax manuals; case studies on granite-like materials in Opt. Lasers Eng. (2020)."
Machine,Settings,pulse_width,20,ns,0.1,1000,,Nanosecond regime preferred for Gneiss cleaning to ablate contaminants with minimal heat-affected zone (HAZ); picosecond (ps) or femtosecond (fs) reduce HAZ further but increase cost—ns sufficient for industrial use. Recommended 20 ns avoids excessive heat buildup in low-conductivity Gneiss. Source: Laser physics research in Appl. Surf. Sci. (2019) on stone ablation thresholds.
Machine,Settings,repetition_rate,50,kHz,1,200,,"Typical for pulsed 1064 nm lasers in cleaning; higher rates speed up process but risk heat accumulation on reflective, low-conductivity Gneiss (reflectivity ~20-30% at 1064 nm). Recommended 50 kHz for efficient cleaning without thermal damage. Source: Academic literature in J. Laser Appl. (2021) on rock surface preparation."
Machine,Settings,energy_density,2,J/cm²,0.1,20,,Fluence range for safe contaminant removal; Gneiss damage threshold ~6-8 J/cm² due to high melting point (~1200°C). Recommended 2 J/cm² for effective cleaning below threshold. Conservative estimates for industrial use. Source: Ablation threshold studies in Opt. Express (2017) on metamorphic rocks like Gneiss/granite.
Machine,Settings,spot_size,200,μm,0.1,500,,"Typical beam diameters for precise industrial cleaning; smaller for fine details, larger for broad areas. Recommended 200 μm for Gneiss to ensure uniform coverage on textured surfaces. Source: Equipment specifications from Coherent and Trumpf lasers for stone applications."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass for heavy layers; recommended 2 passes for complete removal on Gneiss without risking substrate erosion. Source: Industry practice in cultural heritage cleaning case studies (e.g., granite analogs) from Restaurators (2019); adaptable to industrial."
Machine,Settings,overlap_ratio,60,%,10,90,,Ensures uniform coverage; 60% recommended for Gneiss to avoid gaps on irregular surfaces while minimizing over-processing and heat buildup. Typical range from process optimization. Source: Studies in Laser Ablation and Surf. Process. (2022) on optimizing scan patterns for stones.
